style,content,TV,time
4.93215E+11,1.19803E+12,354126,39:11.5
5.19213E+11,1.08272E+12,307160,39:22.3
4.9135E+11,1.00935E+12,291965,39:33.0
4.79533E+11,9.39353E+11,310677,39:43.8
4.62027E+11,8.76986E+11,349664,39:54.5
4.38702E+11,8.23854E+11,334207,40:05.2
4.21788E+11,7.72818E+11,260721,40:15.9
4.08706E+11,7.2731E+11,178997,40:26.5
3.96798E+11,6.85635E+11,119442,40:37.3
3.85233E+11,6.47938E+11,96943.6,40:48.4
3.84169E+11,6.12319E+11,80736.1,40:59.3
3.85945E+11,5.82652E+11,68090.5,41:10.1
3.73097E+11,5.61148E+11,58624.9,41:20.7
3.78843E+11,5.31723E+11,53463.1,41:31.5
3.80235E+11,5.135E+11,51856.2,41:42.3
3.79295E+11,5.12664E+11,45415,41:53.0
3.81774E+11,4.83787E+11,45408.6,42:03.7
3.7163E+11,4.6399E+11,46441.6,42:14.7
3.75196E+11,4.49634E+11,44856.9,42:25.5
3.74011E+11,4.38169E+11,44047.7,42:36.1
3.75627E+11,4.27439E+11,42051.9,42:46.7
3.74748E+11,4.15949E+11,41774.7,42:57.4
3.79286E+11,4.11578E+11,39055,43:08.0
3.75168E+11,4.00579E+11,40727.4,43:18.9
3.78347E+11,3.95746E+11,38737.3,43:29.7
3.75266E+11,3.89194E+11,38260.6,43:40.3
3.71526E+11,3.81291E+11,40886.8,43:51.1
3.78944E+11,3.79388E+11,37066,44:01.9
3.7707E+11,3.73111E+11,38886.8,44:13.0
3.74696E+11,3.69326E+11,37986.7,44:23.8
3.75064E+11,3.58189E+11,39167.7,44:34.4
3.71362E+11,3.58575E+11,39038.1,44:45.0
3.71756E+11,3.57915E+11,39401.7,44:55.7
3.73455E+11,3.5215E+11,37796.3,45:06.3
3.72425E+11,3.42274E+11,39062.1,45:16.9
3.74508E+11,3.49129E+11,36712.9,45:27.5
3.76862E+11,3.40577E+11,37349.7,45:38.1
3.77696E+11,3.33824E+11,37763.4,45:48.7
3.71141E+11,3.42203E+11,39644.9,45:59.3
3.73376E+11,3.27669E+11,38664.7,46:10.0
3.7349E+11,3.25783E+11,37851.5,46:20.6
3.72767E+11,3.20345E+11,38444,46:31.2
3.7693E+11,3.22065E+11,36922.9,46:41.8
3.74465E+11,3.24989E+11,38522.8,46:52.4
3.746E+11,3.17964E+11,36878.3,47:03.0
3.71107E+11,3.1839E+11,39839.1,47:13.6
3.75367E+11,3.10393E+11,37871.7,47:24.3
3.72712E+11,3.13708E+11,38510.6,47:34.9
3.71405E+11,3.06487E+11,39042.1,47:45.5
3.70967E+11,3.04194E+11,38353.8,47:56.1
3.73182E+11,3.06225E+11,37893.8,48:06.7
3.72635E+11,3.04589E+11,38886.7,48:17.3
3.72466E+11,2.98223E+11,37756.8,48:27.9
3.71487E+11,2.98645E+11,37999.2,48:38.5
3.72E+11,2.99349E+11,39071.5,48:49.1
3.73687E+11,2.93154E+11,38190.6,48:59.8
3.69202E+11,3.04754E+11,39725.6,49:10.4
3.72156E+11,2.92972E+11,37488.8,49:21.0
3.71084E+11,2.93699E+11,38923.7,49:31.6
3.72312E+11,2.91408E+11,38135.4,49:42.2
3.72375E+11,2.87375E+11,39104.3,49:52.9
3.71943E+11,2.90257E+11,37810,50:03.8
3.74988E+11,2.83361E+11,37299.9,50:14.6
3.72419E+11,2.85502E+11,38810.8,50:25.2
3.7508E+11,2.83641E+11,36654.8,50:35.9
3.72733E+11,2.8098E+11,38244.1,50:46.6
3.73155E+11,2.81496E+11,38083.2,50:57.3
3.75679E+11,2.79141E+11,36750.4,51:08.1
3.73456E+11,2.76011E+11,38064.5,51:18.8
3.7068E+11,2.81328E+11,39023.3,51:29.6
3.70805E+11,2.79513E+11,38530.5,51:40.3
3.73296E+11,2.74742E+11,37911.9,51:51.0
3.74033E+11,2.74446E+11,37650.2,52:01.8
3.72353E+11,2.76344E+11,37439.6,52:12.6
3.73867E+11,2.69846E+11,38447.2,52:23.4
3.73166E+11,2.72743E+11,37886.4,52:34.0
3.70615E+11,2.76921E+11,38559.6,52:44.6
3.72882E+11,2.66579E+11,38562.8,52:55.3
3.71999E+11,2.6978E+11,39105.6,53:06.1
3.69229E+11,2.77564E+11,39240.9,53:16.7
3.71138E+11,2.67946E+11,39185.4,53:27.3
3.72958E+11,2.66729E+11,37683.2,53:37.9
3.70912E+11,2.65882E+11,39067.5,53:48.5
3.72465E+11,2.65426E+11,37701.1,53:59.1
3.73149E+11,2.6083E+11,38283.6,54:09.7
3.76066E+11,2.6719E+11,37091.2,54:20.3
3.73074E+11,2.60331E+11,38309.7,54:30.9
3.74215E+11,2.66313E+11,36980.4,54:41.6
3.72422E+11,2.63509E+11,37872.5,54:52.2
3.72303E+11,2.60436E+11,38912.6,55:03.0
