style,content,TV,time
6.78E+11,1.69E+12,3.70E+06,59:50.0
4.81E+11,1.08E+12,2.60E+06,59:59.2
4.41E+11,9.46E+11,2.67E+06,00:08.2
4.05E+11,8.23E+11,2.77E+06,00:17.1
3.77E+11,7.09E+11,2.82E+06,00:26.1
3.54E+11,6.12E+11,2.82E+06,00:34.9
3.40E+11,5.33E+11,2.81E+06,00:43.8
3.29E+11,4.65E+11,2.78E+06,00:52.6
3.24E+11,4.11E+11,2.73E+06,01:01.4
3.18E+11,3.65E+11,2.69E+06,01:10.2
3.17E+11,3.28E+11,2.62E+06,01:19.0
3.16E+11,2.95E+11,2.59E+06,01:27.8
3.16E+11,2.67E+11,2.52E+06,01:36.5
3.17E+11,2.47E+11,2.49E+06,01:45.3
3.20E+11,2.27E+11,2.43E+06,01:54.1
3.21E+11,2.07E+11,2.35E+06,02:02.9
3.23E+11,1.94E+11,2.32E+06,02:11.7
3.23E+11,1.87E+11,2.28E+06,02:20.5
3.27E+11,1.71E+11,2.22E+06,02:29.3
3.29E+11,1.60E+11,2.19E+06,02:38.1
3.31E+11,1.54E+11,2.15E+06,02:46.9
3.33E+11,1.42E+11,2.11E+06,02:55.7
3.35E+11,1.36E+11,2.07E+06,03:04.5
3.36E+11,1.29E+11,2.05E+06,03:13.2
3.37E+11,1.23E+11,2.01E+06,03:22.0
3.39E+11,1.17E+11,1.97E+06,03:30.8
3.38E+11,1.17E+11,1.95E+06,03:39.6
3.44E+11,1.10E+11,1.93E+06,03:48.4
3.45E+11,1.02E+11,1.88E+06,03:57.2
3.44E+11,1.03E+11,1.89E+06,04:06.0
3.47E+11,9.60E+10,1.85E+06,04:14.8
3.48E+11,9.15E+10,1.81E+06,04:23.6
3.52E+11,8.92E+10,1.80E+06,04:32.4
3.53E+11,8.93E+10,1.77E+06,04:41.2
3.54E+11,8.21E+10,1.75E+06,04:50.0
3.55E+11,7.85E+10,1.73E+06,04:58.8
3.54E+11,8.09E+10,1.70E+06,05:07.5
3.57E+11,7.47E+10,1.69E+06,05:16.3
3.52E+11,8.21E+10,1.70E+06,05:25.1
3.56E+11,8.10E+10,1.68E+06,05:33.9
