style,content,TV,time
470329000000,1183050000000,337288,16:10:41.135647
388731000000,1068320000000,381720,16:10:52.278760
343842000000,983842000000,397734,16:11:03.317351
299529000000,917784000000,384601,16:11:14.395745
266265000000,854367000000,318354,16:11:25.483591
240161000000,799204000000,275426,16:11:36.713262
230048000000,741628000000,237923,16:11:47.903394
206338000000,707416000000,218936,16:11:59.110018
200808000000,665496000000,196764,16:12:10.210632
194006000000,638098000000,185185,16:12:21.299730
183719000000,618807000000,178499,16:12:32.390105
180318000000,589524000000,170054,16:12:43.485449
172133000000,575052000000,161381,16:12:54.583902
172157000000,556474000000,154807,16:13:05.687888
169068000000,534789000000,150272,16:13:16.787865
167293000000,527709000000,149220,16:13:27.879363
169174000000,515396000000,140184,16:13:39.001227
168806000000,499651000000,137583,16:13:50.268622
166136000000,493244000000,135020,16:14:01.401747
166231000000,480536000000,127437,16:14:12.486056
162565000000,474586000000,129146,16:14:23.580141
160421000000,469087000000,127459,16:14:34.668646
160144000000,460705000000,126949,16:14:45.782869
164591000000,453028000000,123500,16:14:56.942310
158845000000,448121000000,124108,16:15:08.066233
158673000000,437672000000,123167,16:15:19.196448
159712000000,442374000000,120326,16:15:30.337154
159203000000,433798000000,120513,16:15:41.472873
160261000000,432283000000,117681,16:15:52.599932
155040000000,426008000000,121929,16:16:03.723902
156425000000,419289000000,120706,16:16:14.998397
156814000000,425143000000,119100,16:16:26.196445
154336000000,413135000000,117837,16:16:37.648910
157967000000,421353000000,116427,16:16:48.872373
157682000000,404410000000,114534,16:17:00.010421
153990000000,411854000000,115874,16:17:11.401055
156920000000,400862000000,114406,16:17:22.668731
155399000000,398856000000,113267,16:17:33.807364
157483000000,401745000000,114202,16:17:44.951967
156001000000,395031000000,114380,16:17:56.113876
156988000000,388543000000,110699,16:18:07.268094
157786000000,386531000000,111088,16:18:18.580897
156253000000,382876000000,112747,16:18:29.777681
156146000000,387823000000,111037,16:18:40.980160
155961000000,381179000000,110605,16:18:52.179758
154643000000,386122000000,112241,16:19:03.379962
151796000000,390252000000,111306,16:19:14.575978
154835000000,378100000000,110190,16:19:25.757666
151837000000,380262000000,111125,16:19:36.947276
153127000000,373004000000,109813,16:19:48.134544
153853000000,373409000000,109826,16:19:59.344467
154289000000,371582000000,112231,16:20:10.518970
154011000000,370035000000,107220,16:20:21.729807
150723000000,372389000000,109816,16:20:32.919542
155299000000,362127000000,106972,16:20:44.091713
152678000000,366836000000,107503,16:20:55.335406
152309000000,366891000000,106645,16:21:06.518023
152285000000,362945000000,107811,16:21:17.690784
154853000000,359723000000,105001,16:21:28.857982
151085000000,360899000000,108236,16:21:40.037799
154577000000,358239000000,105014,16:21:51.258607
152997000000,360832000000,104708,16:22:02.462166
151715000000,366035000000,107628,16:22:13.779160
152519000000,358788000000,104319,16:22:24.882592
150729000000,356009000000,106183,16:22:36.107364
151577000000,362125000000,105998,16:22:47.260906
150887000000,351018000000,107336,16:22:58.469871
150868000000,354295000000,105653,16:23:10.271988
150190000000,355808000000,106143,16:23:21.526602
153592000000,350483000000,103448,16:23:32.865277
150189000000,346971000000,105223,16:23:44.230298
149671000000,355675000000,105716,16:23:55.403651
151813000000,349422000000,101110,16:24:06.512216
152435000000,350130000000,104328,16:24:17.655159
147838000000,356406000000,107470,16:24:28.747527
150982000000,342904000000,103631,16:24:39.938159
151128000000,349171000000,104408,16:24:51.041079
146042000000,348173000000,105419,16:25:02.140253
153646000000,344949000000,102030,16:25:13.264890
150535000000,343222000000,103221,16:25:24.358229
150633000000,344144000000,101249,16:25:35.513363
149392000000,340043000000,101923,16:25:46.617933
149592000000,357121000000,104136,16:25:57.711338
150342000000,337447000000,101660,16:26:08.807016
148636000000,347934000000,101460,16:26:19.959135
148488000000,339875000000,102825,16:26:31.196806
149653000000,338827000000,102569,16:26:42.413645
150737000000,340094000000,102981,16:26:53.514476
148608000000,343284000000,102923,16:27:04.768679
153376000000,335327000000,100514,16:27:16.006115
148493000000,338831000000,101648,16:27:27.483385
149566000000,333471000000,101329,16:27:38.701413
149742000000,333096000000,101605,16:27:50.039035
149610000000,336483000000,100519,16:28:01.254204
147360000000,337854000000,101367,16:28:12.477081
149153000000,329516000000,102280,16:28:23.627724
146976000000,339120000000,102617,16:28:34.929233
149530000000,335161000000,101326,16:28:46.114328
147558000000,330941000000,102071,16:28:57.481664
148878000000,331987000000,101705,16:29:08.924384
150332000000,329893000000,99920.2,16:29:20.080426
149469000000,340957000000,99036.3,16:29:31.170369
147541000000,330598000000,100819,16:29:42.339939
147591000000,329327000000,101589,16:29:53.792546
149346000000,332076000000,101271,16:30:05.253413
147768000000,328843000000,99901.6,16:30:16.772838
150647000000,326227000000,99914.9,16:30:28.303176
148184000000,327683000000,100077,16:30:39.758425
148042000000,326077000000,99607.9,16:30:50.996259
149365000000,328759000000,99610.1,16:31:02.092089
147892000000,330875000000,100901,16:31:13.292225
147486000000,324003000000,99648.4,16:31:24.658299
149619000000,324618000000,99372.4,16:31:35.826936
149634000000,325543000000,99199.7,16:31:47.031579
149096000000,322048000000,99330.6,16:31:58.183819
148404000000,323531000000,99598,16:32:09.370854
147604000000,323033000000,99956.3,16:32:20.607112
147827000000,329040000000,99954.8,16:32:31.976059
146519000000,322460000000,100129,16:32:43.067065
146730000000,333247000000,100824,16:32:54.224151
149656000000,317291000000,99088.6,16:33:05.371704
148412000000,329044000000,99252.6,16:33:16.676299
149651000000,318961000000,97188.8,16:33:27.822715
147012000000,321178000000,100959,16:33:39.104083
147832000000,331442000000,100099,16:33:50.280569
149338000000,319756000000,98556.5,16:34:01.398972
149424000000,325837000000,99577.8,16:34:12.598892
149953000000,318765000000,98196.7,16:34:23.790256
144414000000,329906000000,101003,16:34:35.049551
147729000000,315228000000,99422.2,16:34:46.194342
150050000000,331422000000,95871.4,16:34:57.428126
148194000000,320071000000,97600,16:35:08.591060
148035000000,312867000000,98669.5,16:35:19.713219
146185000000,317390000000,100456,16:35:31.247229
144432000000,325422000000,102179,16:35:42.382370
146784000000,314460000000,99310.2,16:35:53.600903
148501000000,315692000000,96933.6,16:36:04.703090
145678000000,316945000000,101357,16:36:15.791056
148391000000,332827000000,99784.4,16:36:26.893856
148200000000,312504000000,97774.7,16:36:38.165181
146277000000,319516000000,100007,16:36:49.536843
146799000000,314402000000,99062.9,16:37:00.740769
146650000000,318123000000,99289.9,16:37:11.953355
146601000000,319064000000,99494.4,16:37:23.313354
147444000000,309865000000,99077.3,16:37:34.500571
145107000000,321113000000,101532,16:37:45.782744
146120000000,312207000000,98756.7,16:37:57.309970
146466000000,322014000000,98740.3,16:38:08.801236
