style,content,TV,time
609368000000,1678060000000,3526650,16:40:20.277424
423594000000,1092910000000,2502300,16:40:29.431837
327129000000,1003990000000,2652520,16:40:38.599005
264868000000,901223000000,2899890,16:40:48.095707
231318000000,795773000000,2921920,16:40:57.493191
203023000000,707439000000,2975620,16:41:06.861074
183831000000,630981000000,2982840,16:41:16.210778
172033000000,565404000000,2959890,16:41:25.437541
163363000000,511695000000,2933150,16:41:34.662375
157848000000,465653000000,2896460,16:41:43.879806
153448000000,430065000000,2852490,16:41:53.198772
151449000000,395831000000,2804300,16:42:02.419786
147924000000,370426000000,2774030,16:42:11.642972
146144000000,347119000000,2733600,16:42:20.866588
144937000000,326305000000,2690860,16:42:30.085810
146574000000,307591000000,2645310,16:42:39.307834
145222000000,291730000000,2614950,16:42:48.543306
143720000000,285765000000,2586590,16:42:57.772768
146908000000,265463000000,2546080,16:43:07.005109
145731000000,262168000000,2522560,16:43:16.234915
148478000000,264057000000,2495520,16:43:25.464081
147940000000,241120000000,2470600,16:43:34.688811
148884000000,227797000000,2447530,16:43:43.917622
148987000000,218954000000,2419970,16:43:53.295969
147812000000,221682000000,2424770,16:44:02.591496
149369000000,208391000000,2394320,16:44:11.904789
151213000000,205122000000,2373660,16:44:21.417298
151381000000,201563000000,2374300,16:44:30.848481
151601000000,194788000000,2343760,16:44:40.079784
151801000000,188884000000,2337940,16:44:49.310094
153071000000,185417000000,2318260,16:44:58.579067
151358000000,182575000000,2319830,16:45:07.825094
153379000000,178458000000,2297010,16:45:17.059196
153878000000,174134000000,2284690,16:45:26.372628
150387000000,192479000000,2284120,16:45:35.776902
154004000000,175656000000,2280190,16:45:45.032133
154207000000,168984000000,2273450,16:45:54.285933
153840000000,166594000000,2267050,16:46:03.668635
154968000000,164051000000,2267420,16:46:13.077692
155778000000,160303000000,2251630,16:46:22.365738
155441000000,157363000000,2239350,16:46:31.676902
154123000000,164813000000,2228430,16:46:41.052611
156779000000,155259000000,2223970,16:46:50.413977
156275000000,152248000000,2220850,16:46:59.794238
157552000000,161185000000,2199090,16:47:09.097114
156712000000,154337000000,2225610,16:47:18.712509
156847000000,149015000000,2206180,16:47:28.185741
156914000000,146914000000,2201500,16:47:37.471353
155160000000,170176000000,2183060,16:47:46.840120
157718000000,149083000000,2200060,16:47:56.101558
157791000000,144439000000,2195190,16:48:05.438284
158075000000,141450000000,2184440,16:48:14.985450
157459000000,143105000000,2184170,16:48:24.346994
157742000000,145966000000,2192280,16:48:33.757390
157419000000,144918000000,2186120,16:48:43.023925
158473000000,141085000000,2169100,16:48:52.327275
157733000000,138680000000,2178250,16:49:01.629961
158686000000,135985000000,2163980,16:49:10.883078
158947000000,134529000000,2160930,16:49:20.140263
155881000000,152511000000,2138910,16:49:29.398948
157520000000,146097000000,2165620,16:49:38.663231
159568000000,138195000000,2165980,16:49:47.914794
159531000000,133679000000,2162380,16:49:57.188349
159082000000,131976000000,2150150,16:50:06.445137
159300000000,130689000000,2147940,16:50:15.701935
156453000000,140266000000,2160150,16:50:24.960819
158883000000,133722000000,2149570,16:50:34.224447
159179000000,131150000000,2147640,16:50:43.484144
158187000000,132216000000,2152890,16:50:52.745764
158340000000,133247000000,2144480,16:51:02.007224
158652000000,131006000000,2143480,16:51:11.265278
158778000000,128380000000,2143550,16:51:20.519513
159022000000,126858000000,2129940,16:51:29.780384
159280000000,133587000000,2112640,16:51:39.056056
158766000000,128744000000,2134840,16:51:48.324365
159026000000,126375000000,2133200,16:51:57.581662
158813000000,125826000000,2120870,16:52:06.838329
158915000000,128440000000,2122720,16:52:16.092825
150722000000,186477000000,2173950,16:52:25.349590
159319000000,148148000000,2163480,16:52:34.610180
161587000000,132561000000,2150000,16:52:43.876896
160942000000,127065000000,2139530,16:52:53.146518
160106000000,124882000000,2133700,16:53:02.408170
159755000000,123656000000,2130800,16:53:11.666805
159477000000,122972000000,2125270,16:53:20.931472
158742000000,123706000000,2124710,16:53:30.197139
159464000000,121794000000,2119720,16:53:39.450442
159119000000,121896000000,2116540,16:53:48.706064
159185000000,123951000000,2120130,16:53:57.964327
158035000000,125363000000,2117030,16:54:07.228386
158325000000,123060000000,2115200,16:54:16.506835
158856000000,121247000000,2116810,16:54:26.096629
158452000000,121683000000,2107330,16:54:35.646370
158083000000,122112000000,2116460,16:54:45.050305
157900000000,142036000000,2102100,16:54:54.398094
160119000000,128555000000,2132510,16:55:03.787998
159951000000,122674000000,2122070,16:55:13.063133
159380000000,120456000000,2125500,16:55:22.332634
159058000000,119501000000,2113060,16:55:31.587387
158791000000,119058000000,2110370,16:55:40.855293
158735000000,119598000000,2101270,16:55:50.155227
158810000000,118897000000,2102780,16:55:59.412491
