style,content,TV,time
3.98E+11,1.42E+12,333756,33:29.0
2.69E+11,1.71E+12,451501,33:39.2
1.85E+11,1.80E+12,465995,33:49.3
1.33E+11,1.91E+12,450094,33:59.3
1.01E+11,1.97E+12,418786,34:09.4
7.97E+10,1.99E+12,413750,34:19.6
6.36E+10,2.02E+12,389951,34:29.6
5.26E+10,2.05E+12,380823,34:39.7
4.65E+10,2.06E+12,368477,34:49.9
3.95E+10,2.03E+12,373677,35:00.0
3.50E+10,2.05E+12,380632,35:10.1
3.21E+10,2.07E+12,394014,35:20.6
2.85E+10,2.08E+12,396828,35:30.9
2.60E+10,2.07E+12,390292,35:41.5
2.39E+10,2.09E+12,389512,35:51.8
2.35E+10,2.11E+12,390917,36:02.1
2.16E+10,2.09E+12,374592,36:12.1
2.01E+10,2.10E+12,372892,36:22.2
1.94E+10,2.11E+12,368938,36:32.4
1.85E+10,2.11E+12,363964,36:42.5
1.78E+10,2.11E+12,356251,36:52.6
1.72E+10,2.11E+12,352179,37:02.7
1.68E+10,2.10E+12,349164,37:12.8
2.50E+10,2.06E+12,323928,37:23.3
1.93E+10,2.09E+12,344329,37:33.7
1.71E+10,2.11E+12,337644,37:44.0
1.59E+10,2.11E+12,338039,37:54.4
1.51E+10,2.11E+12,331264,38:04.5
1.45E+10,2.11E+12,327945,38:14.6
1.41E+10,2.11E+12,325014,38:24.9
1.37E+10,2.12E+12,324255,38:35.0
1.35E+10,2.11E+12,317771,38:45.1
1.32E+10,2.12E+12,321592,38:55.4
1.29E+10,2.10E+12,313100,39:05.5
1.25E+10,2.11E+12,316027,39:15.6
1.24E+10,2.12E+12,316432,39:25.6
1.22E+10,2.14E+12,317749,39:35.8
2.84E+10,2.08E+12,306875,39:46.0
1.94E+10,2.09E+12,311640,39:56.1
1.61E+10,2.11E+12,293535,40:06.1
1.44E+10,2.11E+12,295900,40:16.2
1.33E+10,2.12E+12,292659,40:26.3
1.26E+10,2.12E+12,287884,40:36.4
1.25E+10,2.10E+12,278620,40:46.6
1.26E+10,2.09E+12,283300,40:56.7
1.16E+10,2.11E+12,284773,41:06.8
1.11E+10,2.13E+12,289903,41:16.9
1.08E+10,2.12E+12,286003,41:27.0
1.06E+10,2.13E+12,285637,41:37.1
1.04E+10,2.13E+12,282327,41:47.2
1.02E+10,2.13E+12,282949,41:57.3
1.03E+10,2.15E+12,287746,42:07.4
1.02E+10,2.13E+12,279042,42:17.5
9.83E+09,2.13E+12,281890,42:27.6
9.61E+09,2.14E+12,281682,42:37.6
9.69E+09,2.15E+12,283036,42:47.7
9.55E+09,2.14E+12,278257,42:57.8
9.35E+09,2.14E+12,281048,43:07.9
9.49E+09,2.16E+12,283155,43:18.0
9.24E+09,2.12E+12,274286,43:28.1
8.95E+09,2.14E+12,279493,43:38.2
8.84E+09,2.13E+12,274770,43:48.3
9.36E+09,2.13E+12,278265,43:58.4
9.02E+09,2.13E+12,280243,44:08.5
8.66E+09,2.14E+12,275518,44:18.8
8.57E+09,2.15E+12,280141,44:29.0
8.35E+09,2.14E+12,275372,44:39.0
9.07E+09,2.11E+12,265461,44:49.1
1.10E+10,2.17E+12,295127,44:59.2
9.39E+09,2.13E+12,277416,45:09.4
8.63E+09,2.14E+12,278364,45:19.4
8.21E+09,2.14E+12,275597,45:29.5
7.97E+09,2.14E+12,275628,45:39.6
7.81E+09,2.14E+12,275244,45:49.7
7.69E+09,2.15E+12,275663,45:59.8
7.62E+09,2.15E+12,276544,46:09.9
7.97E+09,2.16E+12,280510,46:20.1
7.58E+09,2.14E+12,275109,46:30.3
7.45E+09,2.15E+12,278402,46:40.6
7.34E+09,2.15E+12,276898,46:50.9
8.30E+09,2.17E+12,290781,47:01.3
7.56E+09,2.16E+12,287151,47:11.7
7.18E+09,2.15E+12,282622,47:22.0
7.01E+09,2.15E+12,283397,47:32.2
7.00E+09,2.14E+12,281310,47:42.7
6.82E+09,2.15E+12,284163,47:53.1
6.85E+09,2.15E+12,282131,48:03.1
7.74E+09,2.12E+12,279798,48:13.3
8.49E+09,2.15E+12,289012,48:23.5
7.35E+09,2.15E+12,295589,48:33.6
6.78E+09,2.15E+12,292260,48:43.9
6.49E+09,2.15E+12,294468,48:54.1
6.32E+09,2.15E+12,294038,49:04.2
6.23E+09,2.15E+12,294705,49:14.6
6.38E+09,2.16E+12,300833,49:24.8
6.23E+09,2.15E+12,299499,49:35.2
6.12E+09,2.16E+12,301327,49:45.6
6.06E+09,2.15E+12,298555,49:55.7
5.95E+09,2.16E+12,301475,50:05.9
5.96E+09,2.15E+12,301645,50:16.0
6.47E+09,2.14E+12,299274,50:26.3
1.33E+10,2.15E+12,332580,50:36.7
8.62E+09,2.12E+12,315153,50:47.1
7.13E+09,2.15E+12,306522,50:57.4
6.41E+09,2.16E+12,308928,51:07.6
6.01E+09,2.16E+12,306440,51:17.8
5.78E+09,2.16E+12,308059,51:27.9
5.63E+09,2.16E+12,308839,51:38.0
5.52E+09,2.16E+12,310303,51:48.2
5.68E+09,2.17E+12,309800,51:58.3
5.44E+09,2.16E+12,310993,52:08.4
5.39E+09,2.16E+12,311835,52:18.5
5.34E+09,2.16E+12,311686,52:28.6
5.40E+09,2.16E+12,309586,52:38.8
5.34E+09,2.16E+12,312705,52:48.9
5.66E+09,2.15E+12,311751,52:59.0
7.68E+09,2.18E+12,312523,53:09.6
7.15E+09,2.14E+12,315160,53:19.9
6.05E+09,2.15E+12,310045,53:30.0
5.50E+09,2.16E+12,312857,53:40.1
5.24E+09,2.17E+12,313063,53:50.2
5.09E+09,2.17E+12,312411,54:00.3
5.00E+09,2.17E+12,313230,54:10.6
4.94E+09,2.17E+12,314028,54:20.7
4.89E+09,2.17E+12,313834,54:30.8
4.96E+09,2.16E+12,314409,54:40.9
4.87E+09,2.16E+12,314312,54:51.0
4.81E+09,2.17E+12,315218,55:01.1
4.84E+09,2.17E+12,313519,55:11.3
4.74E+09,2.17E+12,314767,55:21.5
4.70E+09,2.17E+12,316594,55:31.6
4.93E+09,2.19E+12,322619,55:41.8
4.90E+09,2.18E+12,314649,55:51.9
4.91E+09,2.17E+12,315696,56:02.1
4.76E+09,2.17E+12,316253,56:12.3
4.64E+09,2.17E+12,317597,56:22.4
4.69E+09,2.18E+12,318035,56:32.6
5.04E+09,2.16E+12,320172,56:42.8
4.81E+09,2.16E+12,314134,56:53.0
5.76E+09,2.20E+12,328225,57:03.4
1.26E+10,2.10E+12,294697,57:13.6
9.44E+09,2.13E+12,315081,57:23.8
7.48E+09,2.15E+12,322212,57:34.0
6.45E+09,2.15E+12,315462,57:44.1
5.86E+09,2.16E+12,317403,57:54.3
5.49E+09,2.16E+12,318768,58:04.4
5.25E+09,2.17E+12,317723,58:14.5
5.07E+09,2.17E+12,317781,58:24.7
