style,content,TV,time
5.45E+11,1.65E+12,3.23E+06,09:46.0
2.71E+11,1.63E+12,2.36E+06,09:54.2
1.52E+11,1.95E+12,2.58E+06,10:02.5
9.59E+10,2.05E+12,2.46E+06,10:10.9
7.00E+10,2.12E+12,2.47E+06,10:19.2
5.67E+10,2.14E+12,2.48E+06,10:27.4
4.81E+10,2.13E+12,2.52E+06,10:35.6
4.19E+10,2.13E+12,2.57E+06,10:43.7
3.72E+10,2.12E+12,2.61E+06,10:51.9
3.34E+10,2.12E+12,2.64E+06,11:00.0
3.02E+10,2.11E+12,2.67E+06,11:08.2
2.75E+10,2.11E+12,2.71E+06,11:16.4
2.51E+10,2.11E+12,2.74E+06,11:24.6
2.31E+10,2.11E+12,2.77E+06,11:33.0
2.13E+10,2.10E+12,2.80E+06,11:41.2
1.97E+10,2.10E+12,2.83E+06,11:49.4
1.83E+10,2.10E+12,2.85E+06,11:57.6
1.71E+10,2.10E+12,2.87E+06,12:05.7
1.60E+10,2.10E+12,2.88E+06,12:13.9
1.50E+10,2.11E+12,2.90E+06,12:22.1
1.41E+10,2.11E+12,2.91E+06,12:30.3
1.33E+10,2.11E+12,2.92E+06,12:38.5
1.26E+10,2.11E+12,2.93E+06,12:46.7
1.20E+10,2.11E+12,2.94E+06,12:54.8
1.15E+10,2.12E+12,2.95E+06,13:03.0
1.09E+10,2.12E+12,2.96E+06,13:11.2
1.05E+10,2.12E+12,2.97E+06,13:19.4
1.00E+10,2.12E+12,2.98E+06,13:27.6
9.65E+09,2.12E+12,2.98E+06,13:35.8
9.28E+09,2.13E+12,2.99E+06,13:43.9
8.94E+09,2.13E+12,2.99E+06,13:52.1
8.63E+09,2.13E+12,3.00E+06,14:00.3
8.33E+09,2.13E+12,3.00E+06,14:08.5
8.04E+09,2.13E+12,3.01E+06,14:16.7
7.78E+09,2.14E+12,3.01E+06,14:24.9
7.52E+09,2.14E+12,3.02E+06,14:33.0
7.29E+09,2.14E+12,3.02E+06,14:41.2
